method,dimensions,repeats,scenes,positive_similarity,positive_similarity_seed_std,positive_similarity_scene_std,positive_similarity_scene_count,negative_similarity,negative_similarity_seed_std,negative_similarity_scene_std,negative_similarity_scene_count,similarity_gap,similarity_gap_seed_std,similarity_gap_scene_std,similarity_gap_scene_count,retrieval_voxel_hit,retrieval_voxel_hit_seed_std,retrieval_voxel_hit_scene_std,retrieval_voxel_hit_scene_count,retrieval_hit_distance,retrieval_hit_distance_seed_std,retrieval_hit_distance_scene_std,retrieval_hit_distance_scene_count,retrieval_world_error_mean,retrieval_world_error_mean_seed_std,retrieval_world_error_mean_scene_std,retrieval_world_error_mean_scene_count,retrieval_world_error_median,retrieval_world_error_median_seed_std,retrieval_world_error_median_scene_std,retrieval_world_error_median_scene_count,scope
ablation_iterative,128,1,5,0.74984079795499,0.0,0.0414291957710115,5,0.527463647192703,0.0,0.029923324243866862,5,0.22283082506843876,0.0,0.023812827484267256,5,0.32685950915638795,0.0,0.11690269677264091,5,0.46799597076299426,0.0,0.13654480828230434,5,0.2739752866735527,0.0,0.09494746980757073,5,0.18407970033586024,0.0,0.09637207173488077,5,all_pairs
ablation_iterative,256,1,5,0.7575862719935754,0.0,0.05586104903701297,5,0.5495553059168945,0.0,0.04674967652220681,5,0.20854243878896206,0.0,0.023843654122648734,5,0.3470311480497751,0.0,0.11836807008051928,5,0.4906346425584891,0.0,0.13259414706564518,5,0.2548551603211422,0.0,0.09244634928888219,5,0.16754742978080625,0.0,0.09286106289709892,5,all_pairs
ablation_iterative,384,1,5,0.7830025579660169,0.0,0.04246256287443381,5,0.5951193718778065,0.0,0.04064146733083749,5,0.1884698630318971,0.0,0.031783684773887426,5,0.3450418701538171,0.0,0.11897404006407397,5,0.48970756608225113,0.0,0.13332998300887977,5,0.2550778190908615,0.0,0.09853102195823724,5,0.17359642482452817,0.0,0.10129485092128752,5,all_pairs
ablation_iterative,512,1,5,0.8119844886372165,0.0,0.03852561601395472,5,0.6523023717696884,0.0,0.05624266147633409,5,0.1603508190058957,0.0,0.03694991149054322,5,0.34203678917744024,0.0,0.11865472319936086,5,0.485130590705912,0.0,0.13248383803218108,5,0.2558528763773602,0.0,0.09589118423991341,5,0.17900400155974971,0.0,0.09937376708368507,5,all_pairs
ablation_iterative,768,1,5,0.8258486740050778,0.0,0.02781710888215697,5,0.6821163377202938,0.0,0.03541466230595424,5,0.14436119117993468,0.0,0.031372755251007176,5,0.33411634053569667,0.0,0.11228764097607709,5,0.47348677054447547,0.0,0.12723790984574154,5,0.2642198465300539,0.0,0.09737982437672545,5,0.18870554764184258,0.0,0.10189501719681737,5,all_pairs
ablation_iterative,1024,1,5,0.8358517010365762,0.0,0.021124889823993496,5,0.6980570111452029,0.0,0.025380136367927297,5,0.13861961853397445,0.0,0.029061643280107092,5,0.31795486822629765,0.0,0.1099646072482791,5,0.45617408101988177,0.0,0.12820176083249904,5,0.27360593650363024,0.0,0.09718227781002677,5,0.19598179903121724,0.0,0.10225074352531484,5,all_pairs
ablation_once,128,1,5,0.8124679027449699,0.0,0.04266393633705589,5,0.6469702328037759,0.0,0.07295674909815415,5,0.16622727933578024,0.0,0.045392592610050166,5,0.22143328694798886,0.0,0.08874956554262882,5,0.32836373431751126,0.0,0.09785409611228905,5,0.36272967086398794,0.0,0.08208807718306846,5,0.2755945390510944,0.0,0.09864743693012341,5,all_pairs
ablation_once,256,1,5,0.8163762515206491,0.0,0.029152804170765892,5,0.6566843132507533,0.0,0.04205739184714465,5,0.16057395113961792,0.0,0.03286331382155717,5,0.2742787132892222,0.0,0.10276290291921404,5,0.3951507137688201,0.0,0.11586905915022831,5,0.3094546326777362,0.0,0.0899445072948815,5,0.23108653576143326,0.0,0.10055221166750089,5,all_pairs
ablation_once,384,1,5,0.8225407017430951,0.0,0.032251675034120145,5,0.666512505612852,0.0,0.047298691775007,5,0.1571714581448372,0.0,0.03725099586594267,5,0.2966245930983888,0.0,0.10815759909342831,5,0.42487364978072717,0.0,0.11989253396624577,5,0.28661068017237845,0.0,0.09092417415424146,5,0.21065295060796121,0.0,0.09945866568121337,5,all_pairs
ablation_once,512,1,5,0.8228572779701603,0.0,0.034781348018299595,5,0.6712097991567636,0.0,0.04317885628460431,5,0.1526220815254947,0.0,0.03290805337833331,5,0.30992784276201796,0.0,0.11038422315381195,5,0.4391573848504535,0.0,0.1246742631567084,5,0.27921135225862087,0.0,0.09371007563872441,5,0.20941097008364817,0.0,0.10515708739522237,5,all_pairs
ablation_once,768,1,5,0.8237443926257472,0.0,0.028795938078353074,5,0.673813782260068,0.0,0.03344022296127041,5,0.1508518401434766,0.0,0.030188388327160833,5,0.32001503855497665,0.0,0.1102923920103101,5,0.4551698133381789,0.0,0.12750088194087222,5,0.2716526397735056,0.0,0.09568835225158208,5,0.19733710197431426,0.0,0.1013713432617097,5,all_pairs
ablation_once,1024,1,5,0.8358517010365762,0.0,0.021124889823993496,5,0.6980570111452029,0.0,0.025380136367927297,5,0.13861961853397445,0.0,0.029061643280107092,5,0.31795486822629765,0.0,0.1099646072482791,5,0.45617408101988177,0.0,0.12820176083249904,5,0.27360593650363024,0.0,0.09718227781002677,5,0.19598179903121724,0.0,0.10225074352531484,5,all_pairs
centered_full,1536,1,5,0.6150934307036862,0.0,0.0604970489643988,5,0.2806928843040521,0.0,0.06410261850441498,5,0.3357909596506085,0.0,0.053319352885551514,5,0.27969841418730723,0.0,0.10832730997110011,5,0.4060607910131429,0.0,0.12816184047742404,5,0.3075864171610384,0.0,0.09295659376149733,5,0.2265555265017094,0.0,0.1031284565761237,5,all_pairs
original,1536,1,5,0.9668799960613249,0.0,0.006182505476124505,5,0.9354444142210416,0.0,0.006269630505932889,5,0.03166473103830266,0.0,0.0035872517758564247,5,0.2791185401891746,0.0,0.10699001431138458,5,0.40350950106291295,0.0,0.13014660191698293,5,0.3114974776550302,0.0,0.10151075529376868,5,0.22896080831846882,0.0,0.11157484821213405,5,all_pairs
pca,128,1,5,0.6634034534615856,0.0,0.06447618260922339,5,0.3071795416144707,0.0,0.07622913198273118,5,0.3576505153848487,0.0,0.059460159620124374,5,0.2455703494536105,0.0,0.09801091528795221,5,0.36129680661638347,0.0,0.11933576371059791,5,0.3375478817152744,0.0,0.09678936613237471,5,0.2651092798743517,0.0,0.10675221758580798,5,all_pairs
pca,256,1,5,0.6370648174035934,0.0,0.06256887557540179,5,0.29226743048179155,0.0,0.07091524974189438,5,0.3462064879850072,0.0,0.0561064962699988,5,0.2621296622774624,0.0,0.10178655099414738,5,0.38011085383726595,0.0,0.12357412258238938,5,0.32614817671204477,0.0,0.09596039769637803,5,0.25103315590850767,0.0,0.10389008622312891,5,all_pairs
