scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status,scope
scene0707_00,ablation_iterative,128,0,31,31,0.8149952369351541,0.05243995212925339,31,0.5832706897005974,0.05396905175302752,31,0.23172454723455665,0.04921048898162712,31,0.44131683617716805,0.14589597492302328,31,0.6501489634964137,0.15821289974355832,31,0.15200181732153342,0.09009208218023211,31,0.08110948423704793,0.03891029163735834,31,ok,all_pairs
scene0707_00,ablation_iterative,256,0,31,31,0.8441005906751079,0.03859144655701289,31,0.6325138769772738,0.05272474982779507,31,0.21158671369783433,0.04764718047900915,31,0.45106591163476495,0.14809451853300543,31,0.6644985048423043,0.15715767492372085,31,0.1397363960728295,0.07689989416101295,31,0.07702929382362673,0.030121553311502968,31,ok,all_pairs
scene0707_00,ablation_iterative,384,0,31,31,0.8492080857676845,0.03659192017383967,31,0.6611862681234716,0.04584119071975851,31,0.18802181764421289,0.043089132444525884,31,0.45317172439046954,0.1441166369010398,31,0.657612444589469,0.15531853530887235,31,0.1360801938066439,0.0688190484894643,31,0.07677234877501765,0.03188199326531465,31,ok,all_pairs
scene0707_00,ablation_iterative,512,0,31,31,0.8569656437443148,0.03410264352196552,31,0.6859131326019198,0.04266916109613233,31,0.17105251114239522,0.04032308635083055,31,0.45236773802312513,0.1399906661285059,31,0.6579378729437875,0.1511546683733242,31,0.13450458684080155,0.06078541812666236,31,0.07631371470709,0.028197332520138365,31,ok,all_pairs
scene0707_00,ablation_iterative,768,0,31,31,0.866234460184651,0.036052073019154696,31,0.714916482576945,0.039488037629381724,31,0.15131797760770618,0.03437342472862932,31,0.44043859861573226,0.14523667262809403,31,0.637061682283112,0.15824645927933603,31,0.13935959768207037,0.06137686438231101,31,0.07974742569269673,0.031130595590473112,31,ok,all_pairs
scene0707_00,ablation_iterative,1024,0,31,31,0.858754083033531,0.03723512070751202,31,0.6923500313475307,0.04025910862705797,31,0.166404051686,0.038620276089039396,31,0.4323299213239403,0.14778238831556698,31,0.6324017128643394,0.15572382721455488,31,0.14228313047561353,0.06454314165755508,31,0.0805084036002236,0.03034319135711504,31,ok,all_pairs
scene0707_00,ablation_once,128,0,31,31,0.8563741176359115,0.042687531827773746,31,0.7068080994252736,0.04773897209791531,31,0.14956601821063772,0.03663478127354031,31,0.3101321105273712,0.12450628048239787,31,0.4686264186831999,0.13620673793811305,31,0.23208402338604564,0.10799030839941602,31,0.13414022963373892,0.07342098593514992,31,ok,all_pairs
scene0707_00,ablation_once,256,0,31,31,0.8489054883680036,0.04241055139720768,31,0.6868003901492622,0.04601540072313108,31,0.1621050982187414,0.03791048531483326,31,0.3817447258764169,0.1420050986338246,31,0.5618253854397207,0.15610181585953914,31,0.17588026240238952,0.0845853362513278,31,0.10021101010422553,0.054137292415182905,31,ok,all_pairs
scene0707_00,ablation_once,384,0,31,31,0.8558084157205397,0.04151714592773212,31,0.6846951244707179,0.045300784391942676,31,0.1711132912498217,0.03962272133735984,31,0.4065419189624745,0.14089663617734544,31,0.59276059994806,0.1502161546014842,31,0.16026196748889363,0.07233121452093529,31,0.09110419524292793,0.042135973550099494,31,ok,all_pairs
scene0707_00,ablation_once,512,0,31,31,0.857616662979126,0.04027224194272035,31,0.6892772361707147,0.042709484751248,31,0.16833942680841138,0.03796050137828554,31,0.4219509329100719,0.14016290792683087,31,0.6129025746933842,0.15038623793847583,31,0.15403858653056138,0.07412646321464404,31,0.08814405577798043,0.04086338491560374,31,ok,all_pairs
scene0707_00,ablation_once,768,0,31,31,0.8495394837471747,0.0403838431321301,31,0.6691946076883103,0.04518305476131052,31,0.1803448760588643,0.04160757492143738,31,0.4359105202732984,0.1458372954799539,31,0.6356634981432642,0.1545000315163141,31,0.13932079998153526,0.06375318197081944,31,0.0815837805069262,0.03240824610551752,31,ok,all_pairs
