method,dimensions,repeats,scenes,positive_similarity,positive_similarity_seed_std,positive_similarity_scene_std,positive_similarity_scene_count,negative_similarity,negative_similarity_seed_std,negative_similarity_scene_std,negative_similarity_scene_count,similarity_gap,similarity_gap_seed_std,similarity_gap_scene_std,similarity_gap_scene_count,retrieval_voxel_hit,retrieval_voxel_hit_seed_std,retrieval_voxel_hit_scene_std,retrieval_voxel_hit_scene_count,retrieval_hit_distance,retrieval_hit_distance_seed_std,retrieval_hit_distance_scene_std,retrieval_hit_distance_scene_count,retrieval_world_error_mean,retrieval_world_error_mean_seed_std,retrieval_world_error_mean_scene_std,retrieval_world_error_mean_scene_count,retrieval_world_error_median,retrieval_world_error_median_seed_std,retrieval_world_error_median_scene_std,retrieval_world_error_median_scene_count,scope
ablation_iterative,128,1,5,0.8240825650961169,0.0,0.03316510419513105,5,0.6678489583728867,0.0,0.04539525384175217,5,0.1568046407291233,0.0,0.03254478169001474,5,0.2500067756751724,0.0,0.09516318818796383,5,0.3655431295097016,0.0,0.10433371664503568,5,0.3413274949872622,0.0,0.08368788098317227,5,0.24438241971115912,0.0,0.10166830559278536,5,all_pairs
ablation_iterative,256,1,5,0.8543267733243205,0.0,0.02252206575545092,5,0.7103714769387464,0.0,0.050587892332536945,5,0.14441489863642173,0.0,0.039434030090877675,5,0.259231692816068,0.0,0.09980853191905345,5,0.37415466640478934,0.0,0.11319646193115994,5,0.336704592643326,0.0,0.08772073987482527,5,0.24038305936080792,0.0,0.09326999663727811,5,all_pairs
ablation_iterative,384,1,5,0.8656616182865635,0.0,0.0250354512044008,5,0.7363624322108971,0.0,0.014678156041017841,5,0.12989726445216976,0.0,0.014588989428948871,5,0.2638520634321567,0.0,0.0977822708021565,5,0.38165350810377746,0.0,0.11284268231053171,5,0.3339188959439975,0.0,0.0899418889487622,5,0.2353991797326073,0.0,0.09105927498986081,5,all_pairs
ablation_iterative,512,1,5,0.8761329649725267,0.0,0.02204482097773541,5,0.757628396487865,0.0,0.02323888049470825,5,0.11903057953889576,0.0,0.010182251230703286,5,0.2566546956199616,0.0,0.09719310166316883,5,0.3734080432635059,0.0,0.11293858165394206,5,0.3334319372767859,0.0,0.09064670484683274,5,0.24012413206360034,0.0,0.09589456066059665,5,all_pairs
ablation_iterative,768,1,5,0.885709428306549,0.0,0.012015262214308103,5,0.7773846461747926,0.0,0.013890395366115586,5,0.10885686663011027,0.0,0.015862232029460847,5,0.2549090019350327,0.0,0.09891135669920063,5,0.37228449214001424,0.0,0.11276130309675797,5,0.33513283704120933,0.0,0.09007881601838602,5,0.24354708074081327,0.0,0.09909980587862267,5,all_pairs
ablation_iterative,1024,1,5,0.8918945796643534,0.0,0.015497902708442616,5,0.794907900671289,0.0,0.013740972387496483,5,0.09760495775541005,0.0,0.014238577493924012,5,0.24110091373232057,0.0,0.0931186942672828,5,0.35432688828258885,0.0,0.10918269769793211,5,0.3442473627851609,0.0,0.09191290394551267,5,0.2510898533223137,0.0,0.10377050401615055,5,all_pairs
ablation_once,128,1,5,0.9040567987003634,0.0,0.01505850155960178,5,0.8149431482345086,0.0,0.022489454234236445,5,0.08968155368971295,0.0,0.010932837776830327,5,0.1897287740224128,0.0,0.07686374000399238,5,0.2865646093453364,0.0,0.08704167844810866,5,0.3974398720325677,0.0,0.07251765959860017,5,0.304719030640779,0.0,0.0940222408931876,5,all_pairs
ablation_once,256,1,5,0.8942708227903612,0.0,0.014195408015475126,5,0.7982032394578001,0.0,0.015484339195366108,5,0.09673955924002017,0.0,0.00888211112180258,5,0.21180617394592774,0.0,0.08917659583155305,5,0.3165552144529008,0.0,0.1007418715559598,5,0.3700453062338781,0.0,0.08061570112666724,5,0.2828186502187483,0.0,0.10210322893915248,5,all_pairs
ablation_once,384,1,5,0.8937934313474163,0.0,0.017300208984881767,5,0.796279941096949,0.0,0.01785417953632172,5,0.09820503742635653,0.0,0.013098969648268583,5,0.22707974999410024,0.0,0.09211265470783243,5,0.3348049683088517,0.0,0.10275818374427394,5,0.3559025898802818,0.0,0.08246447279428724,5,0.2631238799422018,0.0,0.09671306174667768,5,all_pairs
ablation_once,512,1,5,0.8934664685687711,0.0,0.015843771207961047,5,0.7970577985038758,0.0,0.014706020042092545,5,0.09705320589099384,0.0,0.01191778806028666,5,0.23265687642616584,0.0,0.09107986883080049,5,0.3411626057547835,0.0,0.10441998622706321,5,0.3549056975904783,0.0,0.08556521207651614,5,0.26382192481429345,0.0,0.10158138854330752,5,all_pairs
