scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status,scope
scene0707_00,ablation_iterative,128,0,31,31,0.8444875555653726,0.041363373423080226,31,0.6528424944376655,0.05861320033790443,31,0.19164506112770707,0.052372701358577856,31,0.3421772703013159,0.12426954832665461,31,0.5061323063811031,0.1578901249520703,31,0.22321278810642145,0.10777057730927232,31,0.11867135366605173,0.06039753189878349,31,ok,all_pairs
scene0707_00,ablation_iterative,256,0,31,31,0.873919335103804,0.03561251946725062,31,0.7204512986211222,0.04395543094540444,31,0.15346803648268195,0.04044416024198518,31,0.3687889070936104,0.13210400224259047,31,0.5331220426656613,0.15701981445122823,31,0.19940339371377708,0.09810137365306783,31,0.11185555580642915,0.060056135725573834,31,ok,all_pairs
scene0707_00,ablation_iterative,384,0,31,31,0.8833017637652736,0.034531539961282956,31,0.7440793975893084,0.03780413368930157,31,0.13922236617596515,0.03391545747807918,31,0.3718414009881571,0.12912208563519484,31,0.541661272541807,0.15979692223371897,31,0.19569726635645596,0.10037100448675955,31,0.11306706383343666,0.059238186059847826,31,ok,all_pairs
scene0707_00,ablation_iterative,512,0,31,31,0.8947742062230264,0.03522601623639524,31,0.7705260279386954,0.03609656645962521,31,0.12424817828433114,0.03052494647534886,31,0.36843914059775273,0.13262817124518067,31,0.5346606912758797,0.1580151527568379,31,0.19338394453123406,0.09249964449672873,31,0.11356421668202646,0.05822310398603157,31,ok,all_pairs
scene0707_00,ablation_iterative,768,0,31,31,0.8995327257340954,0.03293002521198742,31,0.7776232457886213,0.03502267511554137,31,0.12190947994547409,0.02996383259152575,31,0.36714241023278443,0.12834774476122837,31,0.5355199841722584,0.15680380102175182,31,0.19526625805973652,0.08987110831852406,31,0.11270512508288506,0.05284145337118823,31,ok,all_pairs
scene0707_00,ablation_iterative,1024,0,31,31,0.9169342979308097,0.032468378787555645,31,0.813739536669658,0.030843623057774137,31,0.10319476126115158,0.026474858478858772,31,0.33484156581204155,0.13052530735105197,31,0.49868940997301475,0.160508172365212,31,0.21327376736691736,0.0976435807021091,31,0.1203139609386844,0.059244221044249874,31,ok,all_pairs
scene0707_00,ablation_once,128,0,31,31,0.9240282504789291,0.035926717147576614,31,0.8441725236988392,0.032217947339498974,31,0.07985572678009,0.019263462974692527,31,0.26017321186511,0.10916110321440374,31,0.39467420966176153,0.14414545638617182,31,0.2814573123176066,0.13391379350939578,31,0.16874376576273672,0.0886126409910605,31,ok,all_pairs
scene0707_00,ablation_once,256,0,31,31,0.9155295914219271,0.040746750124654174,31,0.8212370426687263,0.03652764798232699,31,0.09429254875320092,0.022769180912706032,31,0.29450804757833104,0.12304639968954767,31,0.44328102526587837,0.15019826379486578,31,0.25025859687416535,0.11675130855355134,31,0.14945807043583162,0.08168204353893589,31,ok,all_pairs
scene0707_00,ablation_once,384,0,31,31,0.9183031435935728,0.03450678371053579,31,0.8254282756760734,0.031017335419666118,31,0.09287486791749945,0.022141602137438054,31,0.31511866443542286,0.12646151396444863,31,0.46351832183636954,0.15508824497390228,31,0.23423679824963217,0.10684346709984424,31,0.13875986972162802,0.07314451711852277,31,ok,all_pairs
scene0707_00,ablation_once,512,0,31,31,0.9171823167031811,0.034371626682091344,31,0.8233132391032855,0.030356901053606188,31,0.09386907759989575,0.022762730704086444,31,0.3182865429489266,0.12973816538718796,31,0.47374028443771676,0.1588252106071282,31,0.2306673068754683,0.11000260310947939,31,0.13626540572412552,0.07310357278457572,31,ok,all_pairs
