method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
ablation_iterative,128,0,5,5,0.7612472637334177,0.06643468038985065,5,0.5087961080356707,0.10570431493900648,5,0.25329654607653496,0.06576199267927275,5,0.3045304413978773,0.09214342243376081,5,0.4533678292842923,0.0901774113940029,5,0.26778243745373287,0.06590748858053505,5,0.18327903446170593,0.05783639011270129,5,ok
ablation_iterative,256,0,5,5,0.7870487827062607,0.0644794125647739,5,0.5647323368843749,0.08080842656023818,5,0.22357437035554523,0.04752956325815433,5,0.32207559643254224,0.08801135839229401,5,0.4695681328298368,0.08855841021394249,5,0.2541692165673477,0.0657179813180554,5,0.17094968119455922,0.059725733793375854,5,ok
ablation_iterative,384,0,5,5,0.798317136110798,0.06482697868340914,5,0.5924669050143051,0.08765156732486341,5,0.20694434564619124,0.05110284110821494,5,0.31826132261149503,0.08566032488699254,5,0.4711785332632202,0.0892386566265952,5,0.25184728964338043,0.06696057863050821,5,0.1710581820530276,0.06265462453170612,5,ok
ablation_iterative,512,0,5,5,0.8187102575455942,0.04729006077056835,5,0.6315517909353335,0.0540930221574366,5,0.1881019015793322,0.03557805530696802,5,0.31587690582709044,0.08307589613206032,5,0.4671019371294217,0.09343394369600481,5,0.2512014682100657,0.06782868131383393,5,0.17392120506253933,0.06734015971625329,5,ok
ablation_iterative,768,0,5,5,0.8412236192918593,0.032392538019025696,5,0.6711736308148106,0.03836644956182994,5,0.17122541964397447,0.03091524658098361,5,0.3103950962791186,0.08955706827653327,5,0.46199150260512817,0.09634851075156523,5,0.2546463180159052,0.072008456250691,5,0.1782156146437891,0.07147427429456935,5,ok
ablation_iterative,1024,0,5,5,0.8471100967161117,0.028782464968213236,5,0.6804132831632057,0.033169536796202,5,0.16765866560093912,0.023348382547895064,5,0.30035339412913764,0.08496165001683259,5,0.4493059654490289,0.09028117728895178,5,0.25909937857496274,0.0701026522525848,5,0.18283742925813123,0.07017191260811334,5,ok
ablation_once,128,0,5,5,0.8174923405531913,0.03522668478316649,5,0.6398491605463796,0.05325247866130436,5,0.1783998951199285,0.026521626229723892,5,0.20436607422435085,0.06701977365166045,5,0.3164999764905333,0.07407415740498056,5,0.34208491749462894,0.07759732068904768,5,0.25702924276311556,0.08500298541554091,5,ok
ablation_once,256,0,5,5,0.8228599509308415,0.040858475451109516,5,0.6528994955492606,0.05608807451248804,5,0.17089069215184152,0.025820894220477803,5,0.2427172099731362,0.07385472653829325,5,0.3711752900797288,0.07945421700032637,5,0.3038201708509171,0.07516876139174852,5,0.22350532051776684,0.07977259790254854,5,ok
ablation_once,384,0,5,5,0.8235721738876836,0.03804031421087455,5,0.6484834425517663,0.04346032255715146,5,0.1759720829003245,0.02101603016025635,5,0.2660919076927079,0.08199020230426009,5,0.4034288220820466,0.08586817220596203,5,0.28716015807776457,0.07427260674341007,5,0.20988974279934358,0.08121519638794432,5,ok
ablation_once,512,0,5,5,0.8356333158862206,0.030758411579340946,5,0.6599987481532781,0.04275358984396394,5,0.17652778059741836,0.030552898452529616,5,0.2768143768135395,0.08436476369243381,5,0.4201441844279891,0.0887246791646405,5,0.27778626176193644,0.07581641842777702,5,0.20238193894105577,0.07959641480889716,5,ok
