scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
scene0707_00,ablation_iterative,128,0,31,31,0.769168000067434,0.03693640831816261,31,0.44197868460711237,0.05609281056773599,31,0.32718931546032165,0.06867488901247067,31,0.3910659055837636,0.1375046359623387,31,0.5811930121055849,0.14922198460878272,31,0.1718341072048527,0.08655672113898001,31,0.0935662244596789,0.040864268185988255,31,ok
scene0707_00,ablation_iterative,256,0,31,31,0.7933286101587357,0.033637828464676216,31,0.4830466320355936,0.03508171373245518,31,0.31028197812314207,0.05391600905046781,31,0.40648926092688764,0.1467259978426803,31,0.5929644159022868,0.15022628143005837,31,0.1648003991728636,0.09490662167235359,31,0.09075867480808689,0.041658828393483865,31,ok
scene0707_00,ablation_iterative,384,0,31,31,0.7992480743315912,0.03346824634870283,31,0.502778337643705,0.04187683135758495,31,0.2964697366878861,0.057277818559844824,31,0.40420159294847785,0.14537960729044794,31,0.5927484395191438,0.15038420917821943,31,0.16323738057288525,0.09122561537827802,31,0.08726301885420276,0.0353885998895082,31,ok
scene0707_00,ablation_iterative,512,0,31,31,0.8305976025519832,0.028556410730714247,31,0.5835556429382708,0.036963044957834944,31,0.2470419596137125,0.04721580142155292,31,0.3970948944546343,0.13919329951131143,31,0.5914125725476753,0.14687893775547148,31,0.163317454817893,0.09061713021277218,31,0.09072433135682537,0.039028541601157374,31,ok
scene0707_00,ablation_iterative,768,0,31,31,0.8639964768963475,0.0212549407030188,31,0.6712589161292118,0.032535890431416754,31,0.19273756076713583,0.0380198021998649,31,0.39573281197082516,0.1455920977067746,31,0.5891170688036185,0.15379721773190463,31,0.16298968474256934,0.08633869847178728,31,0.09021911830190689,0.03923695377074543,31,ok
scene0707_00,ablation_iterative,1024,0,31,31,0.8801119615954738,0.01695384077012197,31,0.7139649439551552,0.03236256913270321,31,0.1661470176403186,0.034323534511276385,31,0.36734327726673605,0.1356823885449275,31,0.5596192628111666,0.14958908147340724,31,0.17166827870560888,0.09305177633846883,31,0.09901510515520649,0.04531501723972175,31,ok
scene0707_00,ablation_once,128,0,31,31,0.8450069408262929,0.02482550185668534,31,0.6677771037838336,0.05521227789417806,31,0.17722983704245923,0.04464998408184147,31,0.24016099490767723,0.10263009509020896,31,0.393154264710236,0.11876332148264135,31,0.2492265665145547,0.09605398349426422,31,0.15442759087008814,0.057481251840680564,31,ok
scene0707_00,ablation_once,256,0,31,31,0.8673012718077628,0.019508828294070014,31,0.70068776844715,0.04156049091466973,31,0.16661350336061298,0.03667622432588442,31,0.2859013082176951,0.11329859766052154,31,0.4614211351354233,0.1342463909916539,31,0.21003720991168592,0.0841122764410591,31,0.12289968181040979,0.050767279675602815,31,ok
scene0707_00,ablation_once,384,0,31,31,0.867766636033212,0.01909661531918892,31,0.6974576249322946,0.038879570665261695,31,0.17030901110091742,0.036055493395789805,31,0.31956576419389165,0.1193571222639185,31,0.5013759223035656,0.1337173198991862,31,0.19975778585337817,0.09565611980269693,31,0.11307199227233086,0.047778225386958945,31,ok
scene0707_00,ablation_once,512,0,31,31,0.8670426395631605,0.018815002792824716,31,0.6904184563572686,0.03621811028190041,31,0.17662418320589202,0.03612697246279947,31,0.3339982814102059,0.1262307890943018,31,0.5244218303135901,0.1426151135302468,31,0.1822799101841294,0.0897600995043238,31,0.10727449338282308,0.04504865356726756,31,ok
