scene,method,dimensions,repeat,frame_i,frame_j,valid_tokens_i,valid_tokens_j,shared_voxels,retrieval_queries,positive_similarity,negative_similarity,similarity_gap,retrieval_voxel_hit,retrieval_hit_distance,retrieval_world_error_mean,retrieval_world_error_median,negative_pairs,zero_norm_tokens,zero_norm_queries,status
scene0707_00,original,1536,0,0,25,196,196,73,161,0.981759786605835,0.9591381194656843,0.02262166714015068,0.39751552795031053,0.6708074534161491,0.09390639317054186,0.06730514019727707,146,0,0,ok
scene0707_00,original,1536,0,25,50,196,196,52,115,0.9834207892417908,0.9596979870246007,0.02372280221719003,0.4608695652173913,0.6260869565217392,0.15002525442320366,0.07425321638584137,104,0,0,ok
scene0707_00,original,1536,0,50,75,196,196,62,174,0.9848663806915283,0.9585723838498516,0.02629399684167677,0.4482758620689655,0.6954022988505747,0.10645981581250055,0.06487356126308441,124,0,0,ok
scene0707_00,original,1536,0,75,101,196,196,62,195,0.9855917692184448,0.958383577965921,0.027208191252523828,0.358974358974359,0.5538461538461539,0.10936661440974627,0.09541848301887512,124,0,0,ok
scene0707_00,original,1536,0,101,126,196,196,75,248,0.9870215058326721,0.9595101761817932,0.02751132965087888,0.4153225806451613,0.7338709677419355,0.07501940144556424,0.05406738072633743,150,0,0,ok
scene0707_00,original,1536,0,126,151,196,196,48,193,0.9870579838752747,0.9680907626946768,0.018967221180597904,0.32642487046632124,0.6424870466321243,0.11332119692966265,0.08328906446695328,96,0,0,ok
scene0707_00,original,1536,0,151,176,196,196,61,220,0.9847360253334045,0.9659890112329702,0.018747014100434334,0.2681818181818182,0.5863636363636363,0.19963806658263572,0.08446872979402542,122,0,0,ok
scene0707_00,original,1536,0,176,202,196,190,52,194,0.9802008271217346,0.9663334311201022,0.013867396001632448,0.19072164948453607,0.3865979381443299,0.27496259779424514,0.15710216760635376,104,0,0,ok
scene0707_00,original,1536,0,202,227,190,191,33,126,0.9839877486228943,0.9652628158078049,0.018724932815089357,0.23015873015873015,0.40476190476190477,0.1579700917862947,0.1322348713874817,66,0,0,ok
scene0707_00,original,1536,0,227,252,191,185,21,74,0.9834781885147095,0.9485564799535842,0.03492170856112531,0.1891891891891892,0.35135135135135137,0.2193945720288399,0.16308104991912842,42,0,0,ok
scene0707_00,original,1536,0,252,277,185,188,16,32,0.9858824014663696,0.9518245346844196,0.03405786678195,0.71875,0.78125,0.07869640691205859,0.0569370836019516,32,0,0,ok
scene0707_00,original,1536,0,277,303,188,196,11,22,0.9749621748924255,0.9534665644168854,0.02149561047554016,0.18181818181818182,0.3181818181818182,0.4469677768647671,0.17449013888835907,22,0,0,ok
scene0707_00,original,1536,0,303,328,196,193,27,54,0.9828060269355774,0.956118772427241,0.026687254508336422,0.46296296296296297,0.6666666666666666,0.14768168350888622,0.0780717208981514,54,0,0,ok
scene0707_00,original,1536,0,328,353,193,196,39,82,0.9821206331253052,0.9570302947973593,0.025090338327945827,0.47560975609756095,0.7195121951219512,0.1827916228325992,0.0687829777598381,78,0,0,ok
scene0707_00,original,1536,0,353,378,196,194,52,121,0.9837141633033752,0.9583533211396291,0.025360842163746122,0.3884297520661157,0.6446280991735537,0.10534353835184958,0.0792565792798996,104,0,0,ok
scene0707_00,original,1536,0,378,404,194,194,101,220,0.9858289957046509,0.956654018989884,0.029174976714766876,0.5818181818181818,0.8090909090909091,0.07667856580069797,0.05071112513542175,202,0,0,ok
scene0707_00,original,1536,0,404,429,194,196,72,168,0.9846931099891663,0.9570764435662164,0.02761666642294991,0.5,0.6845238095238095,0.11101662212361892,0.058261673897504807,144,0,0,ok
scene0707_00,original,1536,0,429,454,196,196,43,101,0.9796349406242371,0.9537492685539778,0.02588567207025927,0.2871287128712871,0.39603960396039606,0.24366226766516666,0.13439464569091797,86,0,0,ok
scene0707_00,original,1536,0,454,479,196,195,45,127,0.9787429571151733,0.9525529636277092,0.02618999348746409,0.31496062992125984,0.5511811023622047,0.18997447763195657,0.07981632649898529,90,0,0,ok
scene0707_00,original,1536,0,479,505,195,189,47,131,0.9822813868522644,0.9539878831264821,0.02829350372578232,0.29770992366412213,0.5725190839694656,0.11493564451127562,0.08034394681453705,94,0,0,ok
scene0707_00,original,1536,0,505,530,189,190,39,91,0.9817295670509338,0.9563259062094566,0.02540366084147727,0.43956043956043955,0.5824175824175825,0.12772526463063863,0.07288086414337158,78,0,0,ok
scene0707_00,original,1536,0,530,555,190,188,14,30,0.9780188798904419,0.9532056344406945,0.02481324544974739,0.4666666666666667,0.5333333333333333,0.19038135297596454,0.08165732026100159,28,0,0,ok
scene0707_00,original,1536,0,555,580,188,194,23,46,0.9838119745254517,0.959588894377584,0.02422308014786767,0.6956521739130435,0.6956521739130435,0.155376011789169,0.055292315781116486,46,0,0,ok
scene0707_00,original,1536,0,580,606,194,192,36,72,0.9795902967453003,0.9620287401808633,0.01756155656443703,0.2916666666666667,0.4027777777777778,0.3799668666647954,0.19204185903072357,72,0,0,ok
scene0707_00,original,1536,0,606,631,192,196,50,114,0.9836528301239014,0.9631151616573334,0.020537668466568015,0.39473684210526316,0.6140350877192983,0.21391423022897357,0.07738476991653442,100,0,0,ok
scene0707_00,original,1536,0,631,656,196,196,65,177,0.9846753478050232,0.965344061759802,0.019331286045221163,0.3446327683615819,0.5536723163841808,0.12727196643518357,0.08036158233880997,130,0,0,ok
scene0707_00,original,1536,0,656,681,196,196,57,195,0.9848407506942749,0.9649507262204823,0.019890024473792622,0.35128205128205126,0.6512820512820513,0.11301562390648402,0.07182012498378754,114,0,0,ok
scene0707_00,original,1536,0,681,707,196,196,40,152,0.9826583862304688,0.9671048209071159,0.015553565323352836,0.2565789473684211,0.40131578947368424,0.2563251992074871,0.1494661420583725,80,0,0,ok
scene0707_00,original,1536,0,707,732,196,193,52,163,0.982518196105957,0.9726810260460927,0.009837170059864286,0.06748466257668712,0.2822085889570552,0.2267168173966415,0.20107589662075043,104,0,0,ok
scene0707_00,original,1536,0,732,757,193,196,44,133,0.9839057922363281,0.9606916951862249,0.023214097050103244,0.18045112781954886,0.2932330827067669,0.20538565111731677,0.17305365204811096,88,0,0,ok
scene0707_00,original,1536,0,757,783,196,189,29,61,0.979508638381958,0.9555522008188839,0.023956437563074084,0.3114754098360656,0.39344262295081966,0.2477015850638024,0.1357267051935196,58,0,0,ok
scene0708_00,original,1536,0,0,38,194,193,41,86,0.9808019995689392,0.9600972089825607,0.02070479058637853,0.36046511627906974,0.3953488372093023,0.265402659037432,0.14277079701423645,82,0,0,ok
scene0708_00,original,1536,0,38,76,193,194,46,100,0.9816733002662659,0.9535279474828554,0.02814535278341046,0.36,0.46,0.17600728535093368,0.10927806794643402,92,0,0,ok
scene0708_00,original,1536,0,76,114,194,196,57,121,0.9825308322906494,0.9569112480732432,0.025619584217406177,0.39669421487603307,0.5454545454545454,0.1658044468134272,0.09120500087738037,114,0,0,ok
scene0708_00,original,1536,0,114,152,196,196,39,82,0.9833015203475952,0.9539794883666894,0.02932203198090577,0.3780487804878049,0.5609756097560976,0.12995920196550376,0.08714429289102554,78,0,0,ok
scene0708_00,original,1536,0,152,190,196,195,52,109,0.9768000245094299,0.9581044316291809,0.018695592880249023,0.26605504587155965,0.3853211009174312,0.33234263747640025,0.21595117449760437,104,0,0,ok
scene0708_00,original,1536,0,190,228,195,192,37,76,0.9720807671546936,0.9550646374354491,0.017016129719244488,0.10526315789473684,0.13157894736842105,0.5389358189790264,0.6183955073356628,74,0,0,ok
scene0708_00,original,1536,0,228,266,192,169,37,79,0.9750320911407471,0.9361025908508817,0.038929500289865415,0.21518987341772153,0.3037974683544304,0.3535578105056399,0.2113208919763565,74,0,0,ok
scene0708_00,original,1536,0,266,304,169,171,22,44,0.9765519499778748,0.9530776115981016,0.023474338379773196,0.38636363636363635,0.4090909090909091,0.36200644905594265,0.14359211921691895,44,0,0,ok
scene0708_00,original,1536,0,304,343,171,152,18,36,0.975351095199585,0.9545930474996567,0.020758047699928284,0.3333333333333333,0.2777777777777778,0.38064556863779825,0.23094677925109863,36,0,0,ok
scene0708_00,original,1536,0,343,381,152,152,23,46,0.9813738465309143,0.9589469990004664,0.02242684753044788,0.43478260869565216,0.5869565217391305,0.13559090740897733,0.08491502702236176,46,0,0,ok
scene0708_00,original,1536,0,381,419,152,167,27,58,0.9783831238746643,0.9609545866648356,0.01742853720982873,0.3793103448275862,0.5689655172413793,0.16026089332419738,0.08988743275403976,54,0,0,ok
