method,dimensions,repeats,scenes,positive_similarity,positive_similarity_seed_std,positive_similarity_scene_std,positive_similarity_scene_count,negative_similarity,negative_similarity_seed_std,negative_similarity_scene_std,negative_similarity_scene_count,similarity_gap,similarity_gap_seed_std,similarity_gap_scene_std,similarity_gap_scene_count,retrieval_voxel_hit,retrieval_voxel_hit_seed_std,retrieval_voxel_hit_scene_std,retrieval_voxel_hit_scene_count,retrieval_hit_distance,retrieval_hit_distance_seed_std,retrieval_hit_distance_scene_std,retrieval_hit_distance_scene_count,retrieval_world_error_mean,retrieval_world_error_mean_seed_std,retrieval_world_error_mean_scene_std,retrieval_world_error_mean_scene_count,retrieval_world_error_median,retrieval_world_error_median_seed_std,retrieval_world_error_median_scene_std,retrieval_world_error_median_scene_count
ablation_iterative,512,1,5,0.8187102575455942,0.0,0.04729006077056835,5,0.6315517909353335,0.0,0.0540930221574366,5,0.1881019015793322,0.0,0.03557805530696802,5,0.31587690582709044,0.0,0.08307589613206032,5,0.4671019371294217,0.0,0.09343394369600481,5,0.2512014682100657,0.0,0.06782868131383393,5,0.17392120506253933,0.0,0.06734015971625329,5
ablation_iterative,768,1,5,0.8412236192918593,0.0,0.032392538019025696,5,0.6711736308148106,0.0,0.03836644956182994,5,0.17122541964397447,0.0,0.03091524658098361,5,0.3103950962791186,0.0,0.08955706827653327,5,0.46199150260512817,0.0,0.09634851075156523,5,0.2546463180159052,0.0,0.072008456250691,5,0.1782156146437891,0.0,0.07147427429456935,5
ablation_iterative,1024,1,5,0.8471100967161117,0.0,0.028782464968213236,5,0.6804132831632057,0.0,0.033169536796202,5,0.16765866560093912,0.0,0.023348382547895064,5,0.30035339412913764,0.0,0.08496165001683259,5,0.4493059654490289,0.0,0.09028117728895178,5,0.25909937857496274,0.0,0.0701026522525848,5,0.18283742925813123,0.0,0.07017191260811334,5
ablation_once,128,1,5,0.8174923405531913,0.0,0.03522668478316649,5,0.6398491605463796,0.0,0.05325247866130436,5,0.1783998951199285,0.0,0.026521626229723892,5,0.20436607422435085,0.0,0.06701977365166045,5,0.3164999764905333,0.0,0.07407415740498056,5,0.34208491749462894,0.0,0.07759732068904768,5,0.25702924276311556,0.0,0.08500298541554091,5
ablation_once,256,1,5,0.8228599509308415,0.0,0.040858475451109516,5,0.6528994955492606,0.0,0.05608807451248804,5,0.17089069215184152,0.0,0.025820894220477803,5,0.2427172099731362,0.0,0.07385472653829325,5,0.3711752900797288,0.0,0.07945421700032637,5,0.3038201708509171,0.0,0.07516876139174852,5,0.22350532051776684,0.0,0.07977259790254854,5
ablation_once,384,1,5,0.8235721738876836,0.0,0.03804031421087455,5,0.6484834425517663,0.0,0.04346032255715146,5,0.1759720829003245,0.0,0.02101603016025635,5,0.2660919076927079,0.0,0.08199020230426009,5,0.4034288220820466,0.0,0.08586817220596203,5,0.28716015807776457,0.0,0.07427260674341007,5,0.20988974279934358,0.0,0.08121519638794432,5
ablation_once,512,1,5,0.8356333158862206,0.0,0.030758411579340946,5,0.6599987481532781,0.0,0.04275358984396394,5,0.17652778059741836,0.0,0.030552898452529616,5,0.2768143768135395,0.0,0.08436476369243381,5,0.4201441844279891,0.0,0.0887246791646405,5,0.27778626176193644,0.0,0.07581641842777702,5,0.20238193894105577,0.0,0.07959641480889716,5
ablation_once,768,1,5,0.8364200342855146,0.0,0.02818494441756637,5,0.6615715526992079,0.0,0.03960120211141817,5,0.17579970761308783,0.0,0.030146013029201713,5,0.29207826724600844,0.0,0.08602200429165813,5,0.43987196561738695,0.0,0.08982039137874831,5,0.2657627896803742,0.0,0.07247579646305793,5,0.18982520129171113,0.0,0.07291503077636356,5
ablation_once,1024,1,5,0.8471100967161117,0.0,0.028782464968213236,5,0.6804132831632057,0.0,0.033169536796202,5,0.16765866560093912,0.0,0.023348382547895064,5,0.30035339412913764,0.0,0.08496165001683259,5,0.4493059654490289,0.0,0.09028117728895178,5,0.25909937857496274,0.0,0.0701026522525848,5,0.18283742925813123,0.0,0.07017191260811334,5
centered_full,1536,1,5,0.6106620848851818,0.0,0.039089212193748085,5,0.2343371301365801,0.0,0.05196764799676107,5,0.3786847582983069,0.0,0.06250937816459967,5,0.2862672136993721,0.0,0.08473445023969187,5,0.4269988022738268,0.0,0.09824443547664338,5,0.2772397120421183,0.0,0.0760149869099617,5,0.19736529798036623,0.0,0.08458053629078327,5
original,1536,1,5,0.9780751080090001,0.0,0.0034680570072216253,5,0.953940748049722,0.0,0.003587320195178666,5,0.02424251143358469,0.0,0.003003847134663581,5,0.2891161904824421,0.0,0.08348223623735228,5,0.4343300426951139,0.0,0.09166706445020946,5,0.27604771124506994,0.0,0.07538771341677014,5,0.19736653407254529,0.0,0.07753761915155268,5
pca,128,1,5,0.6620757558557295,0.0,0.03850186953552773,5,0.26489389121877,0.0,0.063583679608892,5,0.3997095204999523,0.0,0.0688107882205109,5,0.2425108175273829,0.0,0.07282614088216034,5,0.3706818162424203,0.0,0.09049055335662347,5,0.31300308269367466,0.0,0.08176023833917437,5,0.23026648511329,0.0,0.09237589441100628,5
pca,256,1,5,0.6419163162189145,0.0,0.039414907164924816,5,0.2513678991335689,0.0,0.05904925042495097,5,0.3930617137023204,0.0,0.06648770566400922,5,0.2663041144990147,0.0,0.0792737949488018,5,0.40154711037653046,0.0,0.09479930226612114,5,0.29386367411020486,0.0,0.07797505712310561,5,0.2095384413268297,0.0,0.08695059198131083,5
pca,384,1,5,0.6328589433431626,0.0,0.039170524799540606,5,0.24624626375145367,0.0,0.056906031784526356,5,0.3890697913066975,0.0,0.06537021147380169,5,0.275591874957139,0.0,0.08027362791429732,5,0.4130084830693043,0.0,0.09452924621204122,5,0.28728421783819236,0.0,0.07661689785097957,5,0.20504329828004683,0.0,0.08653710521663689,5
pca,512,1,5,0.6268015237777463,0.0,0.03920130322378374,5,0.24287869376626584,0.0,0.055612122260517594,5,0.38635672180777725,0.0,0.06469783490223073,5,0.2787972305862079,0.0,0.08253190101633233,5,0.4170300516132146,0.0,0.09526766558329923,5,0.28469298149838085,0.0,0.07666379533842096,5,0.20269554695775432,0.0,0.08485528724078191,5
